Time, Object, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, ColX, ColY, ColZ
5.302835,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2449336,0.7231505,0.7063229
5.31356,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2406695,0.7177404,0.7232748
5.324793,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2335101,0.6963165,0.7501318
5.336517,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2417684,0.6820621,0.764981
5.346726,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.2973114,0.6002155,0.8248232
5.358307,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.231582,0.699088,0.7457668
5.369422,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2325124,0.7111316,0.7287947
5.380141,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2322026,0.7116494,0.7272443
5.391792,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2330067,0.7121428,0.7272531
5.40262,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2336535,0.7125012,0.7273281
5.413471,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2345961,0.7127476,0.7280183
5.424974,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.235522,0.7144203,0.725293
5.435951,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2378065,0.7154599,0.7257227
5.446805,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.238818,0.7165455,0.724191
5.457904,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2390679,0.7161609,0.7255361
5.469303,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2368722,0.7158525,0.7234104
5.480354,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2437366,0.712182,0.7379494
5.491243,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2393994,0.7147847,0.729185
5.503393,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2366959,0.7132041,0.7295955
5.51341,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2371687,0.7160408,0.7233136
5.524879,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2363483,0.7171863,0.7183796
5.536026,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2355224,0.7184024,0.7110726
5.546632,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2356555,0.7180686,0.7132299
5.557956,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2355723,0.718349,0.7115182
5.569443,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.237108,0.7187593,0.7134469
5.580274,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2388288,0.7194821,0.7139557
5.591035,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2408131,0.7208251,0.7115535
5.602649,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2423806,0.7217268,0.7099995
5.613536,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2438959,0.7222944,0.7101691
5.624851,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2446091,0.7224675,0.7107643
5.636335,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2435413,0.7207232,0.7173272
5.647404,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2444473,0.7216401,0.7148993
5.657558,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2441799,0.7222457,0.711167
5.668935,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2450918,0.7229296,0.7087817
5.679893,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2477663,0.7240945,0.7065246
5.691312,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2426188,0.7219517,0.7090879
5.702469,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2434963,0.7223569,0.708597
5.713513,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2405064,0.7213207,0.7070744
5.724303,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2383879,0.7208112,0.6992252
5.736534,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2376142,0.7204031,0.6964657
5.746697,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2371068,0.7198032,0.6915147
5.757685,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2385263,0.7201283,0.6887128
5.769302,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2359499,0.7192039,0.6912845
5.78063,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2287829,0.7154392,0.695489
5.79092,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2242518,0.7099178,0.6814076
5.802981,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2176498,0.6683651,0.643961
5.813085,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.2304804,0.6002155,0.6227416
5.824453,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.1110789,0.6956155,0.5310051
5.835959,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.1126711,0.6956155,0.5163636
5.84655,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.1117484,0.6956155,0.5167159
5.857914,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.1119617,0.6956155,0.5191913
5.869231,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.1133814,0.6956155,0.5157449
5.879805,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.1108457,0.6956155,0.511961
5.891356,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.08501518,0.6956155,0.5153121
5.902661,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.08423901,0.6956155,0.5159422
5.913492,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.0832693,0.6956155,0.5166153
5.924301,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.08268595,0.6956155,0.5152518
5.936091,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.08225036,0.6956155,0.5136517
5.946964,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.08102936,0.6956155,0.5125257
5.957868,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.08106148,0.6956155,0.5119613
5.96886,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.0802573,0.6956155,0.5110001
5.979854,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.07867932,0.6956155,0.5110289
5.99106,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.07736886,0.6956155,0.5131271
6.002545,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.07495415,0.6956155,0.5141326
6.013215,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.07338697,0.6956155,0.5143067
6.024571,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.07275987,0.6956155,0.5116813
6.036032,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.06997049,0.6956155,0.5131005
6.046312,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.06970102,0.6956155,0.5120537
6.058156,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.0798766,0.6956155,0.5180141
6.068832,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.0742867,0.6956155,0.515518
6.080086,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.0735091,0.6956155,0.5161974
6.091626,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.07375598,0.6956155,0.5129348
6.102359,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.06891346,0.6956155,0.5071631
6.113719,Cube,0.08400273,0.6392155,0.4740963,0.08000001,0.0752,0.08000001,0.06464386,0.6956155,0.5115654
6.124468,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.006826945,0.6002155,0.6222287
6.135972,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.04277511,0.6002155,0.6523162
6.147102,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1301364,0.7005568,0.6282305
6.158365,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1428823,0.7099658,0.6348846
6.169468,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1503617,0.7139034,0.6446344
6.179941,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.07773629,0.6002155,0.6875236
6.191483,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.06709392,0.6002155,0.6783991
6.202314,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.07429682,0.6002155,0.683387
6.213289,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1277457,0.7010396,0.6391038
6.224917,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1388011,0.7088308,0.6443874
6.23573,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1372684,0.7079848,0.6472368
6.246535,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1316563,0.7042667,0.6503369
6.257612,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1268784,0.7007551,0.6457004
6.269587,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1269518,0.7008115,0.6467954
6.280068,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1390742,0.7090002,0.6467956
6.291271,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1625371,0.716593,0.6529727
6.302343,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1644593,0.7166244,0.6552135
6.313043,Capsule,-0.1739973,0.6442155,0.6460963,0.064,0.0423,0.064,-0.1658899,0.7168915,0.6544485
