Time,X,Y,Z
5.585676,0.07429242,0.719071,0.9127474
5.597215,0.07387209,0.7191457,0.911326
5.608252,0.07561022,0.7190274,0.9129087
5.619203,0.07707328,0.7187669,0.9154937
5.630388,0.07836223,0.7184107,0.9180912
5.641327,0.07817918,0.7182882,0.9190844
5.652745,0.07361865,0.7185157,0.9186505
5.663929,0.06861871,0.7188054,0.9148994
5.675756,0.06791908,0.7187045,0.9155836
5.686984,0.06738591,0.718678,0.9154729
5.69839,0.06804115,0.7186534,0.916206
5.710069,0.0714668,0.7186867,0.917138
5.721405,0.06885493,0.7190764,0.9103566
5.732763,0.0689913,0.7190741,0.9107154
5.744407,0.07106757,0.7190967,0.9119977
5.755691,0.06990784,0.7191526,0.908895
5.767087,0.07357115,0.7192,0.9095948
5.778335,0.07368898,0.7192145,0.9083058
5.790143,0.07346296,0.7191507,0.9112698
5.801282,0.0738048,0.7190939,0.9124829
5.812499,0.07309175,0.7191629,0.9109772
5.824124,0.07250071,0.7192088,0.909192
5.835449,0.07150853,0.7192031,0.9080953
5.846876,0.07096082,0.7191718,0.909843
5.857531,0.07079434,0.7191061,0.9116473
5.868854,0.07084566,0.7191131,0.9115856
5.879657,0.06994635,0.7191428,0.9096204
5.890855,0.07004452,0.7191482,0.909567
5.901921,0.07057583,0.719167,0.9094248
5.913234,0.07104778,0.719193,0.908552
5.924305,0.0715512,0.7192014,0.9083565
5.935215,0.07061821,0.7191795,0.9077948
5.94648,0.06768566,0.7190379,0.9088845
5.957455,0.06457841,0.7187561,0.9066169
5.96855,0.0607084,0.7165954,0.8919243
5.979592,-0.006196678,0.6017154,0.8115542
5.991146,-0.05575368,0.6017154,0.7706311
6.001697,-0.1181702,0.6755091,0.6464464
6.012982,-0.1576767,0.6987202,0.6167901
6.024059,-0.1775443,0.7081187,0.6460745
6.035299,-0.172327,0.7074834,0.6365837
6.046144,-0.171374,0.7079939,0.6414524
6.057611,-0.1714125,0.7078951,0.6519397
6.068508,-0.1753028,0.7081449,0.6433635
6.07953,-0.1766808,0.7074007,0.6559156
6.090787,-0.1760494,0.7081165,0.6490707
6.101852,-0.1733554,0.7076238,0.6547589
6.112951,-0.1704311,0.708086,0.6481171
6.124211,-0.1727174,0.7075334,0.6368582
6.135013,-0.1698846,0.7067412,0.6330639
6.146414,-0.1707106,0.7070068,0.6341565
6.159689,-0.1743922,0.7077196,0.638149
6.168468,-0.1735297,0.7068633,0.6330053
6.179606,-0.1756325,0.7075307,0.6369017
6.190657,-0.1772283,0.7079189,0.6408357
6.20178,-0.1781547,0.707986,0.6426269
6.213025,-0.1781186,0.7079433,0.6418818
6.223986,-0.1791552,0.7078051,0.6410056
6.235092,-0.1793222,0.7077984,0.6411158
6.246111,-0.1807811,0.7077563,0.6425183
6.257296,-0.1827896,0.7073998,0.6409423
6.268273,-0.1826337,0.7074771,0.6416838
6.279737,-0.1823028,0.7072723,0.6389453
6.290874,-0.1820277,0.7073106,0.6389902
6.302324,-0.1827939,0.7071208,0.6382518
6.312816,-0.1817895,0.7071285,0.6373002
6.324342,-0.1821025,0.7067737,0.6352819
6.33513,-0.182682,0.7071112,0.6380407
6.346114,-0.1826931,0.7070929,0.6379049
6.357306,-0.1828913,0.7068084,0.6361345
6.368453,-0.1825619,0.7071615,0.6383145
6.379636,-0.182091,0.7070715,0.637159
6.391046,-0.1762685,0.7069597,0.6584966
6.401829,-0.08400846,0.6017154,0.7587905
6.412761,0.03610402,0.6612214,0.8406104
6.423968,0.07022047,0.6981894,0.8541077
6.435182,0.08627832,0.7104057,0.8740997
6.446208,0.09667039,0.7095996,0.878328
6.457641,0.1029842,0.7048501,0.8735471
6.468336,0.09836245,0.7074341,0.8748806
6.479578,0.08625746,0.7118503,0.8772964
6.490417,0.08658201,0.7126448,0.8793944
6.501964,0.08821672,0.7105303,0.8751869
6.512654,0.08854306,0.7109792,0.8763416
6.524038,0.09186852,0.7106577,0.8774333
6.535025,0.09212202,0.7107151,0.8777322
6.54619,0.08398765,0.711973,0.876707
6.557384,0.08665776,0.7137083,0.882317
6.569813,0.08544976,0.7142465,0.8832772
6.579255,0.08416533,0.7145143,0.883485
6.590585,0.08362699,0.7146211,0.8835837
6.601611,0.08566821,0.7145212,0.8842466
6.613458,0.0873695,0.7146729,0.885741
6.623775,0.0842697,0.7146395,0.8839293
6.63519,0.08450091,0.7148018,0.8845401
6.646186,0.08735448,0.7145044,0.8851804
6.657348,0.08680367,0.7138941,0.8829507
6.668243,0.08695894,0.7137119,0.8824972
6.679399,0.08696353,0.7134952,0.8818696
6.690542,0.08861953,0.7125521,0.880204
6.701545,0.08602369,0.7132634,0.8807544
6.712537,0.08314145,0.7142476,0.8822604
6.723777,0.0827803,0.7131986,0.8792706
6.734753,0.08235967,0.7132357,0.8792208
6.746033,0.0834083,0.7135275,0.880353
6.757183,0.08576715,0.7141109,0.8830385
6.768675,0.08619046,0.7140673,0.8831224
6.779319,0.08746892,0.713961,0.8835154
6.79054,0.08639055,0.7146299,0.8850033
6.801704,0.08762628,0.7140871,0.884011
6.812619,0.08697975,0.7142068,0.8839911
6.824231,0.088099,0.7143269,0.8850666
6.834855,0.08699775,0.7139388,0.8831749
6.846092,0.08887672,0.71332,0.8824752
6.85714,0.1051536,0.7059512,0.877885
6.868367,0.198413,0.6017154,0.8517398
6.879364,0.2311008,0.7121915,0.6739072
6.890551,0.2415524,0.7121184,0.6618191
6.901505,0.2554306,0.7167482,0.6612976
6.912581,0.2506159,0.7187682,0.6680303
6.92424,0.2503467,0.7230114,0.6807542
6.934884,0.2523823,0.7257133,0.6959769
6.946056,0.2470866,0.7242324,0.7000279
6.95726,0.244849,0.7200904,0.6768029
6.968514,0.2477378,0.7179223,0.6682388
6.98079,0.2466965,0.7181737,0.6696736
6.991023,0.2472591,0.7184913,0.6699603
7.001383,0.2471738,0.7184473,0.6699206
7.012645,0.2474334,0.7176766,0.6679227
7.023738,0.2481535,0.7175951,0.6671927
7.034865,0.2475925,0.7175028,0.6674194
7.046347,0.2455016,0.7175118,0.6691649
7.057245,0.2438003,0.7166977,0.6688456
7.068415,0.2442193,0.7172139,0.669641
7.079639,0.2449481,0.7173286,0.6692349
7.09067,0.2432533,0.7174306,0.6711187
7.101581,0.249463,0.7228298,0.6810656
7.112629,0.2492213,0.7228801,0.6815888
7.123771,0.2489252,0.7231716,0.6833004
7.134891,0.2487223,0.7233781,0.6846424
7.145844,0.2498701,0.7238424,0.6852765
7.157008,0.2486295,0.7236565,0.6863492
7.168183,0.2486367,0.7235114,0.685505
7.179333,0.2486381,0.7236831,0.6864928
7.19077,0.2481238,0.7232633,0.6850287
7.201413,0.2487298,0.723603,0.6858691
7.212554,0.2492892,0.7237428,0.6856885
7.223761,0.2501065,0.7239915,0.6857281
7.235585,0.2504324,0.7239956,0.6852349
7.245934,0.2497783,0.72355,0.6838941
7.256956,0.2495763,0.723013,0.681708
7.268035,0.2500564,0.723021,0.6811407
7.279121,0.2513608,0.7230714,0.6798363
7.290264,0.251781,0.7230819,0.6794456
7.301399,0.2528485,0.7233436,0.6793721
7.312634,0.2452004,0.7194728,0.6745222
7.323891,0.2455325,0.7194617,0.6741236
7.334781,0.2458575,0.7192209,0.6731216
7.345766,0.2459546,0.7187164,0.6716885
7.356807,0.2457772,0.7183802,0.6710011
7.367958,0.245388,0.7172121,0.6685849
7.379855,0.2570694,0.6017154,0.5829551
7.390446,0.1341096,0.6956155,0.4679913
7.401447,0.0926584,0.6956155,0.4430507
7.412455,0.08240038,0.6956155,0.442609
7.42346,0.08438265,0.6956155,0.448372
7.434631,0.08978939,0.6956155,0.4410021
7.446332,0.08890808,0.6956155,0.4472032
